timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1716987300000,2024-05-29T12:55:00Z,101-1-1-0005,generic,
1716987360000,2024-05-29T12:56:00Z,101-1-1-0005,generic,
1716987420000,2024-05-29T12:57:00Z,101-1-1-0005,still,
1716987480000,2024-05-29T12:58:00Z,101-1-1-0005,generic,
1716987540000,2024-05-29T12:59:00Z,101-1-1-0005,generic,
1716987600000,2024-05-29T13:00:00Z,101-1-1-0005,still,
1716987660000,2024-05-29T13:01:00Z,101-1-1-0005,still,
1716987720000,2024-05-29T13:02:00Z,101-1-1-0005,generic,
1716987780000,2024-05-29T13:03:00Z,101-1-1-0005,generic,
1716987840000,2024-05-29T13:04:00Z,101-1-1-0005,still,
1716987900000,2024-05-29T13:05:00Z,101-1-1-0005,still,
1716987960000,2024-05-29T13:06:00Z,101-1-1-0005,still,
1716988020000,2024-05-29T13:07:00Z,101-1-1-0005,still,
1716988080000,2024-05-29T13:08:00Z,101-1-1-0005,still,
1716988140000,2024-05-29T13:09:00Z,101-1-1-0005,still,
1716988200000,2024-05-29T13:10:00Z,101-1-1-0005,still,
1716988260000,2024-05-29T13:11:00Z,101-1-1-0005,still,
1716988320000,2024-05-29T13:12:00Z,101-1-1-0005,still,
1716988380000,2024-05-29T13:13:00Z,101-1-1-0005,still,
1716988440000,2024-05-29T13:14:00Z,101-1-1-0005,generic,
1716988500000,2024-05-29T13:15:00Z,101-1-1-0005,still,
1716988560000,2024-05-29T13:16:00Z,101-1-1-0005,still,
1716988620000,2024-05-29T13:17:00Z,101-1-1-0005,still,
1716988680000,2024-05-29T13:18:00Z,101-1-1-0005,still,
1716988740000,2024-05-29T13:19:00Z,101-1-1-0005,still,
1716988800000,2024-05-29T13:20:00Z,101-1-1-0005,still,
1716988860000,2024-05-29T13:21:00Z,101-1-1-0005,still,
1716988920000,2024-05-29T13:22:00Z,101-1-1-0005,still,
1716988980000,2024-05-29T13:23:00Z,101-1-1-0005,still,
1716989040000,2024-05-29T13:24:00Z,101-1-1-0005,still,
1716989100000,2024-05-29T13:25:00Z,101-1-1-0005,generic,
1716989160000,2024-05-29T13:26:00Z,101-1-1-0005,still,
1716989220000,2024-05-29T13:27:00Z,101-1-1-0005,still,
1716989280000,2024-05-29T13:28:00Z,101-1-1-0005,generic,
1716989340000,2024-05-29T13:29:00Z,101-1-1-0005,generic,
1716989400000,2024-05-29T13:30:00Z,101-1-1-0005,still,
1716989460000,2024-05-29T13:31:00Z,101-1-1-0005,still,
1716989520000,2024-05-29T13:32:00Z,101-1-1-0005,still,
1716989580000,2024-05-29T13:33:00Z,101-1-1-0005,still,
1716989640000,2024-05-29T13:34:00Z,101-1-1-0005,still,
1716989700000,2024-05-29T13:35:00Z,101-1-1-0005,still,
1716989760000,2024-05-29T13:36:00Z,101-1-1-0005,still,
1716989820000,2024-05-29T13:37:00Z,101-1-1-0005,still,
1716989880000,2024-05-29T13:38:00Z,101-1-1-0005,still,
1716989940000,2024-05-29T13:39:00Z,101-1-1-0005,walking,
1716990000000,2024-05-29T13:40:00Z,101-1-1-0005,still,
1716990060000,2024-05-29T13:41:00Z,101-1-1-0005,still,
1716990120000,2024-05-29T13:42:00Z,101-1-1-0005,still,
1716990180000,2024-05-29T13:43:00Z,101-1-1-0005,still,
1716990240000,2024-05-29T13:44:00Z,101-1-1-0005,generic,
1716990300000,2024-05-29T13:45:00Z,101-1-1-0005,generic,
1716990360000,2024-05-29T13:46:00Z,101-1-1-0005,still,
1716990420000,2024-05-29T13:47:00Z,101-1-1-0005,generic,
1716990480000,2024-05-29T13:48:00Z,101-1-1-0005,still,
1716990540000,2024-05-29T13:49:00Z,101-1-1-0005,still,
1716990600000,2024-05-29T13:50:00Z,101-1-1-0005,still,
1716990660000,2024-05-29T13:51:00Z,101-1-1-0005,generic,
1716990720000,2024-05-29T13:52:00Z,101-1-1-0005,still,
1716990780000,2024-05-29T13:53:00Z,101-1-1-0005,still,
1716990840000,2024-05-29T13:54:00Z,101-1-1-0005,generic,
1716990900000,2024-05-29T13:55:00Z,101-1-1-0005,generic,
1716990960000,2024-05-29T13:56:00Z,101-1-1-0005,generic,
1716991020000,2024-05-29T13:57:00Z,101-1-1-0005,generic,
1716991080000,2024-05-29T13:58:00Z,101-1-1-0005,still,
1716991140000,2024-05-29T13:59:00Z,101-1-1-0005,still,
1716991200000,2024-05-29T14:00:00Z,101-1-1-0005,still,
1716991260000,2024-05-29T14:01:00Z,101-1-1-0005,still,
1716991320000,2024-05-29T14:02:00Z,101-1-1-0005,still,
1716991380000,2024-05-29T14:03:00Z,101-1-1-0005,still,
1716991440000,2024-05-29T14:04:00Z,101-1-1-0005,generic,
1716991500000,2024-05-29T14:05:00Z,101-1-1-0005,generic,
1716991560000,2024-05-29T14:06:00Z,101-1-1-0005,generic,
1716991620000,2024-05-29T14:07:00Z,101-1-1-0005,generic,
1716991680000,2024-05-29T14:08:00Z,101-1-1-0005,walking,
1716991740000,2024-05-29T14:09:00Z,101-1-1-0005,generic,
1716991800000,2024-05-29T14:10:00Z,101-1-1-0005,generic,
1716991860000,2024-05-29T14:11:00Z,101-1-1-0005,generic,
1716991920000,2024-05-29T14:12:00Z,101-1-1-0005,generic,
1716991980000,2024-05-29T14:13:00Z,101-1-1-0005,generic,
1716992040000,2024-05-29T14:14:00Z,101-1-1-0005,generic,
