timestamp,value,body_position,quality_indicator
1689065008,873,2,4
1689065012,136,2,4
1689065016,805,2,4
1689065020,127,2,4
1689065024,1171,2,4
1689065028,534,2,4
1689065032,673,2,4
1689065036,1217,2,4
1689065040,1545,2,4
1689065044,166,2,4
1689065048,2043,2,4
1689065052,790,2,4
1689065056,66,2,4
1689065060,32,2,4
1689065064,31,2,4
1689065068,3441,2,4
1689065072,268,2,4
1689065076,3950,2,4
1689065080,2564,2,4
1689065084,2283,2,4
1689065088,1215,2,4
1689065092,1824,2,4
1689065096,138,2,4
1689065100,359,2,4
1689065104,95,2,4
1689065108,51,2,4
1689065112,54,2,4
1689065116,73,2,4
1689065120,486,2,4
1689065124,1167,2,4
1689065128,5488,2,4
1689065132,2558,2,4
1689065136,1952,2,4
1689065140,2863,2,4
1689065144,1228,2,4
1689065148,150,2,4
1689065152,155,2,4
1689065156,152,2,4
1689065160,1820,2,4
1689065164,2500,2,4
1689065168,913,2,4
1689065172,141,2,4
1689065176,452,2,4
1689065180,75,2,4
1689065184,59,2,4
1689065188,466,2,4
1689065192,856,2,4
1689065196,292,2,4
1689065200,284,2,4
1689065204,424,2,4
1689065208,1462,2,4
1689065212,627,2,4
1689065216,509,2,4
1689065220,4548,2,4
1689065224,1910,2,4
1689065228,700,2,4
1689065232,931,2,4
1689065236,514,2,4
1689065240,973,2,4
1689065244,921,2,4
1689065248,3090,2,4
1689065252,3639,2,4
1689065256,401,2,4
1689065260,514,2,4
1689065264,2480,2,4
1689065268,3338,2,4
1689065272,850,2,4
1689065276,1225,2,4
1689065280,932,2,4
1689065284,502,2,4
1689065288,438,2,4
1689065292,423,2,4
1689065296,65,2,4
1689065300,109,2,4
1689065304,1216,2,4
1689065308,921,2,4
1689065312,2299,2,4
1689065316,548,2,4
1689065320,537,2,4
1689065324,139,2,4
1689065328,445,2,4
1689065332,883,2,4
1689065336,605,2,4
1689065340,224,2,4
1689065344,54,2,4
1689065348,53,2,4
1689065352,230,2,4
1689065356,194,2,4
1689065360,176,2,4
1689065364,48,2,4
1689065368,401,2,4
1689065372,259,2,4
1689065376,861,2,4
1689065380,593,2,4
1689065384,636,2,4
1689065388,834,2,4
1689065392,238,2,4
1689065396,339,2,4
1689065400,76,2,4
1689065404,55,2,4
1689065408,50,2,4
1689065412,56,2,4
1689065416,50,2,4
1689065420,51,2,4
1689065424,577,2,4
1689065428,2192,2,4
1689065432,2799,2,4
1689065436,2716,2,4
1689065440,851,2,4
1689065444,412,2,4
1689065448,979,2,4
1689065452,649,2,4
1689065456,990,2,4
1689065460,552,2,4
1689065464,288,2,4
1689065468,114,2,4
1689065472,154,2,4
1689065476,193,2,4
1689065480,210,2,4
1689065484,183,2,4
1689065488,1636,2,4
1689065492,3613,2,4
1689065496,1091,2,4
1689065500,813,2,4
1689065504,98,2,4
1689065508,60,2,4
1689065512,3674,2,4
1689065516,2448,2,4
1689065520,56,2,4
1689065524,118,2,4
1689065528,2137,2,4
1689065532,2248,2,4
1689065536,936,2,4
1689065540,510,2,4
1689065544,2264,2,4
1689065548,5106,2,4
1689065552,9711,2,4
1689065556,4722,2,4
1689065560,8275,2,4
1689065564,5769,2,4
1689065568,533,2,4
1689065572,56,2,4
1689065576,4084,2,4
1689065580,3064,2,4
1689065584,2583,2,4
1689065588,379,2,4
1689065592,96,2,4
1689065596,125,2,4
1689065600,1632,2,4
