timestamp_unix,timestamp_iso,participant_full_id,temperature_celsius,missing_value_reason
1673145900000,2023-01-08T02:45:00Z,101-1-1-0004,34.18,
1673145960000,2023-01-08T02:46:00Z,101-1-1-0004,34.13,
1673146020000,2023-01-08T02:47:00Z,101-1-1-0004,34.07,
1673146080000,2023-01-08T02:48:00Z,101-1-1-0004,34.02,
1673146140000,2023-01-08T02:49:00Z,101-1-1-0004,33.98,
1673146200000,2023-01-08T02:50:00Z,101-1-1-0004,33.97,
1673146260000,2023-01-08T02:51:00Z,101-1-1-0004,33.96,
1673146320000,2023-01-08T02:52:00Z,101-1-1-0004,33.96,
1673146380000,2023-01-08T02:53:00Z,101-1-1-0004,33.97,
1673146440000,2023-01-08T02:54:00Z,101-1-1-0004,33.99,
1673146500000,2023-01-08T02:55:00Z,101-1-1-0004,33.98,
1673146560000,2023-01-08T02:56:00Z,101-1-1-0004,33.95,
1673146620000,2023-01-08T02:57:00Z,101-1-1-0004,33.9,
1673146680000,2023-01-08T02:58:00Z,101-1-1-0004,33.86,
1673146740000,2023-01-08T02:59:00Z,101-1-1-0004,33.88,
1673146800000,2023-01-08T03:00:00Z,101-1-1-0004,33.91,
1673146860000,2023-01-08T03:01:00Z,101-1-1-0004,33.95,
1673146920000,2023-01-08T03:02:00Z,101-1-1-0004,33.99,
1673146980000,2023-01-08T03:03:00Z,101-1-1-0004,34.03,
1673147040000,2023-01-08T03:04:00Z,101-1-1-0004,34.06,
1673147100000,2023-01-08T03:05:00Z,101-1-1-0004,34.09,
1673147160000,2023-01-08T03:06:00Z,101-1-1-0004,34.12,
1673147220000,2023-01-08T03:07:00Z,101-1-1-0004,34.15,
1673147280000,2023-01-08T03:08:00Z,101-1-1-0004,34.17,
1673147340000,2023-01-08T03:09:00Z,101-1-1-0004,34.2,
1673147400000,2023-01-08T03:10:00Z,101-1-1-0004,34.21,
1673147460000,2023-01-08T03:11:00Z,101-1-1-0004,34.23,
1673147520000,2023-01-08T03:12:00Z,101-1-1-0004,34.24,
1673147580000,2023-01-08T03:13:00Z,101-1-1-0004,34.24,
1673147640000,2023-01-08T03:14:00Z,101-1-1-0004,34.22,
1673147700000,2023-01-08T03:15:00Z,101-1-1-0004,34.04,
1673147760000,2023-01-08T03:16:00Z,101-1-1-0004,33.76,
1673147820000,2023-01-08T03:17:00Z,101-1-1-0004,33.45,
1673147880000,2023-01-08T03:18:00Z,101-1-1-0004,33.17,
1673147940000,2023-01-08T03:19:00Z,101-1-1-0004,32.95,
1673148000000,2023-01-08T03:20:00Z,101-1-1-0004,32.83,
1673148060000,2023-01-08T03:21:00Z,101-1-1-0004,32.74,
1673148120000,2023-01-08T03:22:00Z,101-1-1-0004,32.66,
1673148180000,2023-01-08T03:23:00Z,101-1-1-0004,32.58,
1673148240000,2023-01-08T03:24:00Z,101-1-1-0004,32.51,
1673148300000,2023-01-08T03:25:00Z,101-1-1-0004,32.44,
1673148360000,2023-01-08T03:26:00Z,101-1-1-0004,32.39,
1673148420000,2023-01-08T03:27:00Z,101-1-1-0004,32.34,
